Player Name,Positon,Stars,Rank,College,Home State
Tavien St Clair QB ,QB ,5.000, 1,Ohio State ,OH
Bryce Underwood QB ,QB ,5.000, 1,Michigan ,MI
Keelon Russell QB ,QB ,5.000, 1,Alabama ,TX
Husan Longstreet QB ,QB ,4.833, 4,USC ,CA
Deuce Knight QB ,QB ,4.783, 5,Auburn ,MS
Julian Lewis QB ,QB ,4.667, 6,Colorado ,GA
KaMario Taylor QB ,QB ,4.533, 7,Mississippi State ,MS
Matt Zollers QB ,QB ,4.517, 8,Missouri ,PA
Malik Washington QB ,QB ,4.475, 9,Maryland ,MD
Bryce Baker QB ,QB ,4.442,10,North Carolina ,NC
Jaron Keawe Sagapolutele QB ,QB ,4.317,11,Oregon ,HI
Luke Nickel QB ,QB ,4.283,12,Miami ,GA
George MacIntyre QB ,QB ,4.267,13,Tennessee ,TN
Adam Schobel QB ,QB ,4.250,14,TCU ,TX
Akili Smith QB ,QB ,4.183,15,Oregon ,CA
Ryan Montgomery QB ,QB ,4.183,15,Georgia ,OH
Cameron Dyer QB ,QB ,4.167,17,Arizona State ,NM
Alex Manske QB ,QB ,4.131,18,Iowa State ,IA
Brady Hart QB ,QB ,4.108,19,Texas A&M ,FL
KJ Lacey QB ,QB ,4.067,20,Texas ,AL
Tristan Tia QB ,QB ,4.041,,Oregon State ,CA
Ty Hawkins QB ,QB ,4.008,21,SMU ,TX
Madden Iamaleava QB ,QB ,4.000,22,Arkansas ,CA
TJ Lateef QB ,QB ,3.967,23,Nebraska ,CA
Carter Smith QB ,QB ,3.967,23,Wisconsin ,FL
Blake Hebert QB ,QB ,3.967,23,Notre Dame ,CT
Lloyd Jones QB ,QB ,3.959,26,Texas Tech ,TX
Tramell Jones QB ,QB ,3.933,27,Florida ,FL
Grayson Wilson QB ,QB ,3.933,27,Arkansas ,AR
Bear Bachmeier QB ,QB ,3.900,29,Stanford ,CA
Au'tori Newkirk QB ,QB ,3.875,30,North Carolina ,VA
Jackson Kollock QB ,QB ,3.875,30,Minnesota ,CA
Stone Saunders QB ,QB ,3.867,32,Kentucky ,PA
Dash Beierly QB ,QB ,3.863,33,Washington ,CA
Kevin Sperry QB ,QB ,3.833,34,Florida State ,TX
Mason Heintschel QB ,QB ,3.825,35,Pittsburgh ,OH
Robert McDaniel QB ,QB ,3.825,35,UCLA ,CA
Chris Denson QB ,QB ,3.822,37,Clemson ,FL
David McComb QB ,QB ,3.800,38,Kansas ,OK
Elijiah Oehlke QB ,QB ,3.800,38,Wake Forest ,NC
Will Wilson QB ,QB ,3.800,38,NC State ,SC
Austin Carlisle QB ,QB ,3.788,41,Houston ,TX
Bjorn Jurgensen QB ,QB ,3.788,41,Virginia ,FL
Grady Adamson QB ,QB ,3.775,43,Georgia Tech ,OK
Cutter Woods QB ,QB ,3.775,43,South Carolina ,SC
Jamarian Ficklin QB ,QB ,3.775,43,Utah ,OK
Treston McMillan QB ,QB ,3.775,43,Washington ,HI
Wyatt Becker QB ,QB ,3.767,47,Utah ,CA
Nolan Keeney QB ,QB ,3.738,48,BYU ,OR
Zebulin Kinsey QB ,QB ,3.738,48,Cincinnati ,OH
Mason Mims QB ,QB ,3.738,48,Louisville ,AL
Cole Geer QB ,QB ,3.733,51,Virginia ,MA
Leo Hannan QB ,QB ,3.725,52,Michigan State ,CA
Hezekiah Millender QB ,QB ,3.713,53,Georgia ,GA
Bekkem Kritza QB ,QB ,3.700,54,Penn State ,FL
Dan Mahan QB ,QB ,3.700,54,Duke ,NC
Carson Boyd QB ,QB ,3.688,56,Illinois ,MO
Edward Griffin QB ,QB ,3.675,57,Baylor ,TX
Owen Eshelman QB ,QB ,3.675,,Washington State ,OK
Brennen Ward QB ,QB ,3.663,58,Kentucky ,OH
Shaker Reisig QB ,QB ,3.663,58,Boston College ,OK
Michael Tollefson QB ,QB ,3.663,58,Arizona State ,CA
Kelden Ryan QB ,QB ,3.650,61,Virginia Tech ,TX
Jack Elliott QB ,QB ,3.638,62,Vanderbilt ,IL
Scotty Fox QB ,QB ,3.625,63,West Virginia ,OH
Steele Pizzella QB ,QB ,3.625,63,Wake Forest ,CA
Sawyer Anderson QB ,QB ,3.625,63,Arizona ,TX
Eli Morcos QB ,QB ,3.600,66,Texas A&M ,TX
Dillon Duff QB ,QB ,3.600,66,Kansas State ,MO
Marcus Romain QB ,QB ,3.588,68,Northwestern ,GA
Jimmy Sullivan QB ,QB ,3.575,69,Iowa ,IN
Rich Belin QB ,QB ,3.563,70,Syracuse ,NY
Jett Niu QB ,QB ,3.550,71,Oklahoma ,UT
Max Anderson QB ,QB ,3.538,72,West Virginia ,WV
Luke Haugo QB ,QB ,3.525,73,Arizona ,AZ
Sean Ashenfelder QB ,QB ,3.525,73,Rutgers ,FL
Jacob Bell QB ,QB ,3.463,75,Indiana ,IL
Dalton Anderson QB ,QB ,3.457,,Washington State ,WA
Luke Carney QB ,QB ,3.450,76,Syracuse ,TX
Colton Gumino QB ,QB ,3.438,77,UCLA ,IL
Dominic Ingrassia QB ,QB ,3.413,78,California ,CA
Jackson Hamilton QB ,QB ,3.325,79,Maryland ,TX
Garyt Odom QB ,QB ,3.157,80,Purdue ,AR
