Year ,Country ,Champion ,Total score ,To par[10][a] 
1934 , United States ,Horton Smith ,284,−4 
1935 , United States ,Gene Sarazen ,282,−6 
1936 , United States ,Horton Smith ,285,−3 
1937 , United States ,Byron Nelson ,283,−5 
1938 , United States ,Henry Picard ,285,−3 
1939 , United States ,Ralph Guldahl ,279,−9 
1940 , United States ,Jimmy Demaret ,280,−8 
1941 , United States ,Craig Wood ,280,−8 
1942 , United States ,Byron Nelson ,280,−8 
,— ,None[b] ,— ,— 
,— ,None ,— ,— 
,— ,None ,— ,— 
1946 , United States ,Herman Keiser ,282,−6 
1947 , United States ,Jimmy Demaret ,281,−7 
1948 , United States ,Claude Harmon ,279,−9 
1949 , United States ,Sam Snead ,282,−6 
1950 , United States ,Jimmy Demaret ,283,−5 
1951 , United States ,Ben Hogan ,280,−8 
1952 , United States ,Sam Snead ,286,−2 
1953 , United States ,Ben Hogan ,274,−14 
1954 , United States ,Sam Snead ,289,
1955 , United States ,Cary Middlecoff ,279,−9 
1956 , United States ,Jack Burke Jr. ,289,
1957 , United States ,Doug Ford ,283,−5 
1958 , United States ,Arnold Palmer ,284,−4 
1959 , United States ,Art Wall Jr. ,284,−4 
1960 , United States ,Arnold Palmer ,282,−6 
1961 , South Africa ,Gary Player ,280,−8 
1962 , United States ,Arnold Palmer ,280,−8 
1963 , United States ,Jack Nicklaus ,286,−2 
1964 , United States ,Arnold Palmer ,276,−12 
1965 , United States ,Jack Nicklaus ,271,−17 
1966 , United States ,Jack Nicklaus ,288,E 
1967 , United States ,Gay Brewer ,280,−8 
1968 , United States ,Bob Goalby ,277,−11 
1969 , United States ,George Archer ,281,−7 
1970 , United States ,Billy Casper ,279,−9 
1971 , United States ,Charles Coody ,279,−9 
1972 , United States ,Jack Nicklaus ,286,−2 
1973 , United States ,Tommy Aaron ,283,−5 
1974 , South Africa ,Gary Player ,278,−10 
1975 , United States ,Jack Nicklaus ,276,−12 
1976 , United States ,Raymond Floyd ,271,−17 
1977 , United States ,Tom Watson ,276,−12 
1978 , South Africa ,Gary Player ,277,−11 
1979 , United States ,Fuzzy Zoeller ,280,−8 
1980 , Spain ,Seve Ballesteros ,275,−13 
1981 , United States ,Tom Watson ,280,−8 
1982 , United States ,Craig Stadler ,284,−4 
1983 , Spain ,Seve Ballesteros ,280,−8 
1984 , United States ,Ben Crenshaw ,277,−11 
1985 , West Germany ,Bernhard Langer ,282,−6 
1986 , United States ,Jack Nicklaus ,279,−9 
1987 , United States ,Larry Mize ,285,−3 
1988 , Scotland ,Sandy Lyle ,281,−7 
1989 , England ,Nick Faldo ,283,−5 
1990 , England ,Nick Faldo ,278,−10 
1991 , Wales ,Ian Woosnam ,277,−11 
1992 , United States ,Fred Couples ,275,−13 
1993 , Germany ,Bernhard Langer ,277,−11 
1994 , Spain ,José María Olazábal ,279,−9 
1995 , United States ,Ben Crenshaw ,274,−14 
1996 , England ,Nick Faldo ,276,−12 
1997 , United States ,Tiger Woods ,270,−18 
1998 , United States ,Mark O'Meara ,279,−9 
1999 , Spain ,José María Olazábal ,280,−8 
2000 , Fiji ,Vijay Singh ,278,−10 
2001 , United States ,Tiger Woods ,272,−16 
2002 , United States ,Tiger Woods ,276,−12 
2003 , Canada ,Mike Weir ,281,−7 
2004 , United States ,Phil Mickelson ,279,−9 
2005 , United States ,Tiger Woods ,276,−12 
2006 , United States ,Phil Mickelson ,281,−7 
2007 , United States ,Zach Johnson ,289,
2008 , South Africa ,Trevor Immelman ,280,−8 
2009 , Argentina ,Ángel Cabrera ,276,−12 
2010 , United States ,Phil Mickelson ,272,−16 
2011 , South Africa ,Charl Schwartzel ,274,−14 
2012 , United States ,Bubba Watson ,278,−10 
2013 , Australia ,Adam Scott ,279,−9 
2014 , United States ,Bubba Watson ,280,−8 
2015 , United States ,Jordan Spieth ,270,−18 
2016 , England ,Danny Willett ,283,−5 
2017 , Spain ,Sergio García ,279,−9 
2018 , United States ,Patrick Reed ,273,−15 
2019 , United States ,Tiger Woods ,275,−13 
2020 , United States ,Dustin Johnson ,268,−20 
